DATE,LMUNRRTTRUM156S
1991-07-01,0.0612570691947906
1991-08-01,0.0874410881092473
1991-09-01,0.151524928302406
1991-10-01,0.148992879969692
1991-11-01,0.132975563015077
1991-12-01,0.0997166805501659
1992-01-01,0.0735008563326637
1992-02-01,0.0566641936188008
1992-03-01,0.0476200396415069
1992-04-01,0.106371713409596
1992-05-01,0.19659153848075
1992-06-01,0.284109738171552
1992-07-01,0.372697642613524
1992-08-01,0.448634503211167
1992-09-01,0.584305226789728
1992-10-01,0.680321854101504
1992-11-01,0.745245039864586
1992-12-01,0.813937653764623
1993-01-01,0.786552640299029
1993-02-01,0.825526210360478
1993-03-01,0.877914582429362
1993-04-01,0.894650191620403
1993-05-01,0.955877758432732
1993-06-01,1.01226251456123
1993-07-01,1.04326494360495
1993-08-01,1.05741096681178
1993-09-01,1.09747638619093
1993-10-01,1.08708686298755
1993-11-01,1.14071754822432
1993-12-01,1.12125939447723
1994-01-01,1.17835205349731
1994-02-01,1.22635633050186
1994-03-01,1.37385437115672
1994-04-01,1.48507887244408
1994-05-01,1.55871711557912
1994-06-01,1.71336097555561
1994-07-01,1.8445471817824
1994-08-01,1.95563290583585
1994-09-01,2.0072448389294
1994-10-01,2.08562749861785
1994-11-01,2.1482598663689
1994-12-01,2.22296798973089
1995-01-01,2.37176003332765
1995-02-01,2.42181110671887
1995-03-01,2.56825318783119
1995-04-01,2.59313099154955
1995-05-01,2.7476263888549
1995-06-01,2.81428274552111
1995-07-01,2.85402868247734
1995-08-01,2.95869704462967
1995-09-01,3.01228926569331
1995-10-01,3.09158258016589
1995-11-01,3.15075468606121
1995-12-01,3.21578328716932
1996-01-01,3.27594329673924
1996-02-01,3.41217864983131
1996-03-01,3.56964447570473
1996-04-01,3.67672533701484
1996-05-01,3.65277425346427
1996-06-01,3.61694989521289
1996-07-01,3.55448373913564
1996-08-01,3.56042918229689
1996-09-01,3.51551458100542
1996-10-01,3.49285618304557
1996-11-01,3.45272537575728
1996-12-01,3.41977503079192
1997-01-01,3.46345967820849
1997-02-01,3.4076931736492
1997-03-01,3.37379181132158
1997-04-01,3.37468909417274
1997-05-01,3.25891906571243
1997-06-01,3.22227018088049
1997-07-01,3.1535830519695
1997-08-01,3.06497594285313
1997-09-01,2.92534291666296
1997-10-01,2.89653464360492
1997-11-01,2.85193658654042
1997-12-01,2.80680385442414
1998-01-01,2.6682080701314
1998-02-01,2.59892447770047
1998-03-01,2.56885936413418
1998-04-01,2.57887147978325
1998-05-01,2.55573097306739
1998-06-01,2.52788613012631
1998-07-01,2.55002368296382
1998-08-01,2.47622811382572
1998-09-01,2.5222676353767
1998-10-01,2.59557845962548
1998-11-01,2.64711817494868
1998-12-01,2.6103034383166
1999-01-01,2.56347985090972
1999-02-01,2.58118177705604
1999-03-01,2.46997936876048
1999-04-01,2.3887506260618
1999-05-01,2.35108463685102
1999-06-01,2.22524961298319
1999-07-01,2.06471618364598
1999-08-01,1.9753248223883
1999-09-01,1.92181671034201
1999-10-01,1.89384948201798
1999-11-01,1.75894548226828
1999-12-01,1.7056214467152
2000-01-01,1.65194277667936
2000-02-01,1.58624355455653
2000-03-01,1.56341449883803
2000-04-01,1.48607940688524
2000-05-01,1.4576576453127
2000-06-01,1.4343044304163
2000-07-01,1.46145695458565
2000-08-01,1.47012964115269
2000-09-01,1.42445859538195
2000-10-01,1.4063593598376
2000-11-01,1.44997792037456
2000-12-01,1.4079752159794
2001-01-01,1.4443898716113
2001-02-01,1.38127491746848
2001-03-01,1.36693019793225
2001-04-01,1.38241405030281
2001-05-01,1.36465107320259
2001-06-01,1.43290446961962
2001-07-01,1.46446165214255
2001-08-01,1.47731962125146
2001-09-01,1.51999619138995
2001-10-01,1.50859530498703
2001-11-01,1.55591778972892
2001-12-01,1.60114486036303
2002-01-01,1.64936723368677
2002-02-01,1.76589082947727
2002-03-01,1.76734553422046
2002-04-01,1.79037025944382
2002-05-01,1.85674130067555
2002-06-01,1.83926835162449
2002-07-01,1.86535635948748
2002-08-01,1.87604184001611
2002-09-01,1.92403214612326
2002-10-01,2.00624074704626
2002-11-01,2.0594115530673
2002-12-01,2.09993384513122
2003-01-01,2.1412327011797
2003-02-01,2.16723515017641
2003-03-01,2.16633218428601
2003-04-01,2.18468130501566
2003-05-01,2.16218022217857
2003-06-01,2.14131234625607
2003-07-01,2.16723769005128
2003-08-01,2.17687596405921
2003-09-01,2.21939861744606
2003-10-01,2.20864834833942
2003-11-01,2.16729551847026
2003-12-01,2.19756995254134
2004-01-01,2.23351664098778
2004-02-01,2.16822649823866
2004-03-01,2.16153872815343
2004-04-01,2.09374508184746
2004-05-01,2.1577361778816
2004-06-01,2.14208578173641
2004-07-01,2.17231878679584
2004-08-01,2.26917414088344
2004-09-01,2.32425025837846
2004-10-01,2.41720046307105
2004-11-01,2.56058195145846
2004-12-01,2.59962549056741
2005-01-01,2.63985898483075
2005-02-01,2.65704335192608
2005-03-01,2.57019829348435
2005-04-01,2.58535767757976
2005-05-01,2.56358913002932
2005-06-01,2.53838683653938
2005-07-01,2.47223182127248
2005-08-01,2.4690137252421
2005-09-01,2.42232100020725
2005-10-01,2.41515905865737
2005-11-01,2.37756555463483
2005-12-01,2.48927456559632
2006-01-01,2.44585641810378
2006-02-01,2.46335519465141
2006-03-01,2.45990371467866
2006-04-01,2.38762361844785
2006-05-01,2.36428524106789
2006-06-01,2.33974413287416
2006-07-01,2.36162390584649
2006-08-01,2.36436762479053
2006-09-01,2.32289889921432
2006-10-01,2.32199258597313
2006-11-01,2.36686867731606
